label,status,treated,controls,boot_ci_lo_pp,boot_ci_hi_pp,n_boot,pre,post,n_obs,n_days,treated_pre_pct,treated_post_pct,control_pre_pct,control_post_pct,raw_did_pp,lpm_did_pp,lpm_se_pp,lpm_ci_lo_pp,lpm_ci_hi_pp,lpm_p,logit_did_logodds,logit_p,logit_ame_pp,controls_in_model,n_clusters,lpm_q_bh
"2026-06-17 Gemini model+reasoning change (controls: ChatGPT, Claude)",run,Gemini,"ChatGPT,Claude",1.281044855007383,2.273471850040219,600,2026-04-23..2026-06-16,2026-06-17..2026-09-08,45557,52,1.4078069293354054,2.966485507246377,21.490098570286833,21.2890625,1.759714648197804,1.729516102532245,0.23968054608625622,1.2597508644082902,2.1992813406561997,5.356979607254372e-13,0.7874628500496075,5.925934753063482e-18,1.575799875330621,True,52,5.356979607254372e-12
"2026-06-17 Gemini (controls: three continuous arms, Perplexity included)",run,Gemini,"ChatGPT,Claude,Perplexity",-0.6611921195845875,2.7768942329694863,600,2026-04-23..2026-06-16,2026-06-17..2026-09-08,53298,52,1.4078069293354054,2.966485507246377,27.683956574185764,27.672440299272317,1.5701948528244185,1.5980595706690297,0.7525764078024388,0.12303691576172113,3.073082225576338,0.03371602791909504,0.7777933743231349,5.176037700759464e-12,1.5659130325523383,True,52,0.0842900697977376
"2026-06-17 Gemini (controls include Groq, which exits 2026-08-16)",run,Gemini,"ChatGPT,Claude,Perplexity,Groq",-2.6948748728470635,1.6558180452033113,600,2026-04-23..2026-06-16,2026-06-17..2026-09-08,67506,52,1.4078069293354054,2.966485507246377,22.09090448954801,23.613199335285273,0.03638373217370772,0.05705068288516385,0.9678074223774467,-1.8398170089451753,1.9539183747155031,0.9529932207332958,0.6768979089825384,7.082365791572596e-08,1.4234917443101822,True,52,0.9529932207332958
"2026-06-17 Gemini, post truncated at 2026-08-18 (before the arm swap)",run,Gemini,"ChatGPT,Claude,Perplexity",1.8154429131417542,3.2066765450228867,600,2026-04-23..2026-06-16,2026-08-08..2026-08-18,49153,47,1.4078069293354054,3.194444444444444,27.683956574185764,27.000559597090096,2.4700344922047073,2.4936667544374416,0.376397932313416,1.7559403632478012,3.2313931456270817,3.4705803778550066e-11,0.8953766044907057,1.435437127358782e-23,1.8470252055542706,True,47,1.7352901889275032e-10
"PLACEBO pre-trend: false boundary at 2026-05-17 (controls: ChatGPT, Claude)",run,Gemini,"ChatGPT,Claude",-0.7414042575863535,0.2859910953752092,600,2026-04-23..2026-05-16,2026-05-17..2026-06-09,33461,39,1.3134057971014492,1.471715468342787,21.282665753737305,21.622210916491024,-0.18123549151238127,-0.20822646118448096,0.2446947665716294,-0.6878193908703101,0.2713664685013482,0.39478929685805386,0.09127946946175478,0.43263352921607223,0.12523194877546107,True,39,0.4386547742867265
PLACEBO pre-trend: false boundary at 2026-05-17 (three controls),run,Gemini,"ChatGPT,Claude,Perplexity",0.6874503106582497,2.401335479619752,600,2026-04-23..2026-05-16,2026-05-17..2026-06-09,39125,39,1.3134057971014492,1.471715468342787,28.53887521647981,27.139122857972698,1.5580620297484493,1.5259238221435945,0.413527864706571,0.7154241007149632,2.3364235435722263,0.00022424125885936322,0.19587664379066985,0.08709904840868322,0.2563654168513677,True,39,0.0007474708628645441
"2026-08-19 arm swap, instrument-stability check on ChatGPT (treated vs the other continuous arms)",run,ChatGPT,"Claude,Gemini,Perplexity",-0.722844141233244,4.940420287369319,583,2026-08-08..2026-08-18,2026-08-23..2026-09-08,14173,13,17.15277777777778,17.083333333333332,21.376608841634024,20.251177394034535,1.0559870031550425,1.0561949067164615,1.226628427346535,-1.3479526332957539,3.4603424467286774,0.3892075874311093,0.07171899975131603,0.4152393030846966,0.8973912580915591,True,13,0.4386547742867265
"2026-08-19 arm swap, instrument-stability check on Claude (treated vs the other continuous arms)",run,Claude,"ChatGPT,Gemini,Perplexity",-1.1488609982541556,2.9643942795230704,578,2026-08-08..2026-08-18,2026-08-23..2026-09-08,14173,13,25.3125,25.833333333333336,18.088975937325124,17.6138147566719,0.9959945139865596,0.9962300186508677,0.9084681138080645,-0.7843347655159736,2.776794802817709,0.2728144172504292,0.06774136027097408,0.29839036257582785,1.1124718057524647,True,13,0.4386547742867265
"2026-08-19 arm swap, instrument-stability check on Gemini (treated vs the other continuous arms)",run,Gemini,"ChatGPT,Claude,Perplexity",-29.16199299350775,-0.09865845763006893,599,2026-08-08..2026-08-18,2026-08-23..2026-09-08,14173,13,3.194444444444444,2.5390625,27.000559597090096,29.513223457263322,-3.168045804617671,-3.1559320475630357,2.6086472904036526,-8.268786785122193,1.9569226899961225,0.22635703579940347,-0.3901030758969088,0.12348489014918802,-1.1312922191588188,True,13,0.4386547742867265
"2026-08-19 arm swap, instrument-stability check on Perplexity (treated vs the other continuous arms)",run,Perplexity,"ChatGPT,Claude,Gemini",-1.7488496300617704,17.075452829013074,599,2026-08-08..2026-08-18,2026-08-23..2026-09-08,14173,13,50.93659942363112,51.959361393323654,15.219907407407407,13.049768518518517,3.192900858581421,3.2217190721886557,3.2936156537245105,-3.2336489880287314,9.677087132406042,0.32798979372495485,0.2558834112873606,0.30786557692775973,5.116888366320679,True,13,0.4386547742867265
